bins_2021,bin_width_2021,bins_2020,bin_width_2020,bins_2019,bin_width_2019,bins_2018,bin_width_2018,bins_2017,bin_width_2017
"Under 25,000",24999,"Under 50,000",49999,"Under 15,000",14999,"Under 50,000",49999,"Under 50,000",49999
"25,000 to 49,999",25000,"50,000 to 54,999",5000,"15,000 to 49,999",35000,"50,000 to 54,999",5000,"50,000 to 54,999",5000
"50,000 to 54,999",5000,"55,000 to 59,999",5000,"50,000 to 54,999",5000,"55,000 to 59,999",5000,"55,000 to 59,999",5000
"55,000 to 59,999",5000,"60,000 to 64,999",5000,"55,000 to 59,999",5000,"60,000 to 64,999",5000,"60,000 to 64,999",5000
"60,000 to 64,999",5000,"65,000 to 69,999",5000,"60,000 to 64,999",5000,"65,000 to 69,999",5000,"65,000 to 69,999",5000
"65,000 to 69,999",5000,"70,000 to 74,999",5000,"65,000 to 69,999",5000,"70,000 to 74,999",5000,"70,000 to 74,999",5000
"70,000 to 74,999",5000,"75,000 to 79,999",5000,"70,000 to 74,999",5000,"75,000 to 79,999",5000,"75,000 to 79,999",5000
"75,000 to 79,999",5000,"80,000 to 84,999",5000,"75,000 to 79,999",5000,"80,000 to 84,999",5000,"80,000 to 84,999",5000
"80,000 to 84,999",5000,"85,000 to 89,999",5000,"80,000 to 84,999",5000,"85,000 to 89,999",5000,"85,000 to 89,999",5000
"85,000 to 89,999",5000,"90,000 to 94,999",5000,"85,000 to 89,999",5000,"90,000 to 94,999",5000,"90,000 to 94,999",5000
"90,000 to 94,999",5000,"95,000 to 99,999",5000,"90,000 to 94,999",5000,"95,000 to 99,999",5000,"95,000 to 99,999",5000
"95,000 to 99,999",5000,"100,000 to 149,999",50000,"95,000 to 99,999",5000,"100,000 and over",NA,"100,000 and over",NA
"100,000 to 149,999",50000,"150,000 to 199,999",50000,"100,000 to 149,999",50000,Total,NA,Total,NA
"150,000 to 199,999",50000,"200,000 to 249,999",50000,"150,000 to 199,999",50000,NA,NA,NA,NA
"200,000 to 249,999",50000,"250,000 and over",NA,"200,000 to 249,999",50000,NA,NA,NA,NA
"250,000 and over",NA,Total,NA,"250,000 and over",NA,NA,NA,NA,NA
Total,NA,NA,NA,Total,NA,NA,NA,NA,NA
